uzem	id	d_proba_N	d_proba_hibaN	abrasor	abraanalogia	kezugyesseg_vonal	kezugyesseg_pont
ventilátor	v1	441	77	5	7	0,920	0,948
ventilátor	v2	370	174	5	4	0,855	0,844
ventilátor	v3	370	69	5	5	0,714	0,540
ventilátor	v4	348	34	8	6	0,967	0,982
ventilátor	v5	521	53	7	10	1,000	0,960
ventilátor	v6	445	29	7	9	0,972	0,971
ventilátor	v7	557	88	10	7	0,949	0,883
ventilátor	v8	400	50	9	8	0,947	0,953
ventilátor	v9	618	114	5	9	0,952	0,957
ventilátor	v10	543	121	6	8	0,929	0,988
ventilátor	v11	545	100	6	4	0,921	0,991
ventilátor	v12	568	179	4	5	0,939	0,886
ventilátor	v13	560	135	8	9	0,982	0,902
ventilátor	v14	548	215	4	6	0,983	0,810
ventilátor	v15	499	150	5	8	0,983	0,989
ventilátor	v16	574	267	3	6	0,860	0,905
ventilátor	v17	447	59	4	9	0,927	0,868
ventilátor	v18	523	34	9	9		0,935
ventilátor	v19	573	75	8	10	0,929	0,933
ventilátor	v20	499	98	1	2	0,970	0,835
ventilátor	v21	438	98	2	6		0,657
ventilátor	v22	613	233	4	4	0,875	0,904
ventilátor	v23	427	157	2	4	0,911	0,750
ventilátor	v24	323	45	4	5	0,722	0,917
ventilátor	v25	638	124	3	8	0,844	0,744
ventilátor	v26	495	130	5	7	0,870	0,845
ventilátor	v27	479	38	5	10	0,973	1,000
ventilátor	v28	317	30	6	6	0,953	0,989
ventilátor	v29	636	54	8	8	0,933	0,939
ventilátor	v30	488	148	6	7		0,957
ventilátor	v31	439	48	7	4	0,916	0,896
ventilátor	v32	449	93	2	3	0,868	0,842
ventilátor	v33	392	173	3	7	0,927	0,961
ventilátor	v34	567	118	3	4	0,980	0,965
ventilátor	v35	468	45	5	4	0,961	0,954
ventilátor	v36	470	81	3	7	0,973	0,972
ventilátor	v37	453	49	6	5	0,950	0,865
ventilátor	v38	454	54	9	8	1,000	0,983
ventilátor	v39	591	138	6	8	0,806	0,928
ventilátor	v40	476	133	7	7	0,987	1,000
ventilátor	v41	254	3	7	8	0,989	0,919
ventilátor	v42	468	38	9	9	0,943	0,905
ventilátor	v43	639	121	8	10	0,988	0,986
ventilátor	v44	449	48	7	9	0,944	0,904
ventilátor	v45	464	92	9	8	0,849	0,638
ventilátor	v46	519	149	7	6	0,811	0,807
ventilátor	v47	529	142	6	8	0,911	0,938
ventilátor	v48	631	99	8	7	0,944	0,897
ventilátor	v49	575	204	5	8	0,629	0,762
ventilátor	v50	605	151	9	3	0,820	0,869
ventilátor	v51	470	54	2	8	0,788	0,814
ventilátor	v52	509	138	2	9	0,893	0,915
ventilátor	v53	603	143	2	5	0,774	0,875
ventilátor	v54	365	56	3	5	0,900	0,924
ventilátor	v55	380	132	3	4	0,899	0,914
ventilátor	v56	545	7	4	8	0,957	0,922
ventilátor	v57	548	58	8	8	0,981	0,928
ventilátor	v58	433	36	9	10	0,868	0,867
ventilátor	v59	591	74	10	8	0,967	0,878
ventilátor	v60	422	21	9	9	0,944	0,921
ventilátor	v61	524	71	8	9	0,958	0,867
ventilátor	v62	361	130	4	6	0,818	0,848
ventilátor	v63	374	12	6	10	1,000	1,000
ventilátor	v64	326	23	7	9	1,000	0,944
ventilátor	v65	629	114	6	8	0,856	0,950
ventilátor	v66	397	60	2	5	0,808	0,855
ventilátor	v67	327	124	4	8	0,986	0,902
ventilátor	v68	418	10	9	10	0,917	0,947
ventilátor	v69	425	107	6	7	0,880	0,707
ventilátor	v70	477	74	7	6	0,923	0,924
ventilátor	v71	332	109	6	4	0,911	0,647
ventilátor	v72	525	72	7	9	0,933	0,876
ventilátor	v73	427	49	8	9	0,971	0,915
ventilátor	v74	532	138	8	9	0,941	0,885
ventilátor	v75	499	85	7	9	0,855	0,849
ventilátor	v76	526	124	3	5	0,956	0,744
ventilátor	v77	532	57	4	2		-0,727
ventilátor	v78	486	184	8	4	0,860	0,861
ventilátor	v79	502	36	8	7	0,981	0,933
ventilátor	v80	494	124	3	3	0,786	0,915
ventilátor	v81	428	24	2	7	0,870	0,905
ventilátor	v82	205	54	2	6	0,714	0,500
ventilátor	v83	528	213	2	5	0,756	0,917
ventilátor	v84	514	95	8	5	0,872	0,790
ventilátor	v85	438	111	5	5	0,820	0,934
ventilátor	v86	553	11	10	10	0,914	0,886
ventilátor	v87	363	12	7	8	0,956	0,990
ventilátor	v88	557	176	7	7	0,667	0,780
ventilátor	v89	329	108	7	8	0,889	0,769
ventilátor	v90	623	150	9	9	0,878	0,869
ventilátor	v91	414	19	10	9	0,944	0,894
ventilátor	v92	574	107	8	10	0,963	0,917
ventilátor	v93	449	92	6	8	0,588	0,980
ventilátor	v94	519	45	8	7	0,827	0,954
ventilátor	v95	431	60	7	6	0,729	0,766
ventilátor	v96	276	49	7	4	0,829	0,914
ventilátor	v97	448	88	9	5	0,923	0,971
ventilátor	v98	373	32	8	9	1,000	0,984
ventilátor	v99	371	126	7	8	0,984	0,816
ventilátor	v100	499	31	9	5	0,944	0,952
ventilátor	v101	523	109	8	3	0,868	0,772
ventilátor	v102	411	74	8	6	0,722	0,514
ventilátor	v103	435	50	7	8	0,840	0,872
ventilátor	v104	565	95	9	8	0,880	0,939
ventilátor	v105	658	42	5	7	0,911	0,883
ventilátor	v106	454	90	5	5	0,904	0,839
ventilátor	v107	532	15	7	9		0,921
ventilátor	v108	578	104	8	9	0,800	0,906
ventilátor	v109	519	92	8	9	0,911	0,967
ventilátor	v110	618	187	7	7	0,844	0,833
ventilátor	v111	586	58	9	9	0,889	0,978
ventilátor	v112	619	74	9	8	0,989	0,869
Papst	p1	537	86	7	9	0,956	0,972
Papst	p2	563	54	10	10	0,966	0,986
Papst	p3	326	85	10	9	0,893	0,745
Papst	p4	602	24	10	10	1,000	0,966
Papst	p5	560	113	5	6	0,966	0,973
Papst	p6	505	184	6	6	0,983	1,000
Papst	p7	235	36	9	8	1,000	0,991
Papst	p8	465	38	9	8	0,988	0,974
Papst	p9	456	167	8	9	0,981	0,776
Papst	p10	387	19	9	10	0,978	1,000
Papst	p11	452	34	8	10	0,983	0,890
Papst	p12	420	115	9	6	0,984	1,000
Papst	p13	622	85	8	9	0,889	0,975
Papst	p14	520	38	7	8	0,976	0,982
Papst	p15	517	95	6	9	0,892	0,968
Papst	p16	478	63	7	8	0,926	0,911
Papst	p17	529	133	6	6	1,000	1,000
Papst	p18	528	57	6	7	0,889	0,945
Papst	p19	590	145	7	6	0,954	1,000
Papst	p20	570	142	5	8	1,000	0,989
Papst	p21	370	21	8	8	0,933	0,969
Papst	p22	557	171	6	7	0,933	0,979
Papst	p23			7	10	0,980	1,000
Papst	p24	440	66	5	4	1,000	0,988
Papst	p25	384	35	5	7	0,967	0,973
Papst	p26	555	72	6	6	0,967	0,927
Papst	p27	450	28	5	8	1,000	1,000
Papst	p28	640	127	6	7	0,978	0,968
Papst	p29	433	37	10	9	0,967	0,983
Papst	p30	545	30	10	10	0,922	0,925
Papst	p31	391	21	10	8	0,878	0,956
Papst	p32	483	105	4	5	0,985	0,947
Papst	p33	304	25	6	7	0,956	0,948
Papst	p34	597	166	5	9	0,967	0,884
Papst	p35	578	118	6	7	0,922	0,931
Papst	p36	394	31	6	6	1,000	0,965
Papst	p37	501	68	7	1	0,956	0,959
Papst	p38	453	28	8	7	0,911	0,850
Papst	p39	587	102	7	8	0,867	0,933
Papst	p40	422	17	9	9	0,960	0,972
Papst	p41	526	123	5	9	0,922	0,924
Papst	p42	445	118	3	3	0,956	0,877
Papst	p43	379	30	5	7	0,982	0,988
Papst	p44	540	170	5	5	0,957	0,978
Papst	p45			4	6	0,933	0,667
Papst	p46	446	79	7	7	0,955	0,964
Papst	p47	500	109	5	8	0,956	0,967
Papst	p48	315	11	6	8	0,989	0,933
Papst	p49	353	39	5	5	0,957	0,924
Papst	p50			2	3	0,909	0,933
Papst	p51	528	50	10	9	0,989	0,968
Papst	p52	650	81	9	10	0,967	0,985
Papst	p53	610	75	8	9	0,953	0,971
Papst	p54	550	112	4	5	0,855	0,994
Papst	p55	634	220	3	7	0,950	0,965
Papst	p56			2	6	0,833	0,941
Papst	p57	501	177	4	5	0,867	0,950
Papst	p58	569	187	1	1	0,944	0,942
Papst	p59	542	100	4	4	1,000	0,979
Papst	p60	572	118	4	7	0,951	0,975
Papst	p61	584	155	6	8	0,973	0,951
Papst	p62	613	72	7	8	0,989	0,914
Papst	p63	605	157	6	7	1,000	0,955
Papst	p64	600	141	8	8	0,983	0,972
Papst	p65	515	154	2	5	0,978	0,981
Papst	p66	391	66	6	6	0,800	0,883
Papst	p67	389	89	4	6	0,825	0,886
Papst	p68	375	126	0	4	0,778	0,852
Papst	p69	222	90	3	7	0,644	0,714
Papst	p70	469	45	5	8	1,000	0,980
Papst	p71	578	114	4	6	0,939	0,911
Papst	p72	649	158	3	5	0,900	0,943
Papst	p73	557	93	8	6	0,825	0,900
Papst	p74	611	77	9	8	0,978	0,936
Papst	p75	592	175	2	6	0,800	0,909
Papst	p76	233	77	7	9	0,424	0,667
Papst	p77	604	190	4	3	0,850	0,902
Papst	p78	570	103	5	5	0,889	0,869
Papst	p79	405	46	5	5	0,914	0,978
Papst	p80	509	47	10	10	0,957	0,908
Papst	p81	501	5	10	10	0,956	0,918
Papst	p82	496	84	9	6	0,786	0,942
Papst	p83	492	47	9	6	0,940	0,953
Papst	p84	459	72	9	5	0,867	0,950
Papst	p85	518	160	5	8	0,905	0,895
Papst	p86	514	103	7	9	0,911	0,876
Papst	p87	559	152	8	9	0,938	0,933
Papst	p88	450	93	5	6	0,744	0,800
Papst	p89	534	163	6	7	0,827	0,882
Papst	p90	322	26	5	7	0,967	0,905
Papst	p91	509	53	8	8	0,917	0,953
Papst	p92	447	71	7	8	0,900	0,978
Papst	p93	494	66	10	8		0,935
Papst	p94	640	110	10	7	0,882	0,897
Papst	p95	548	166	1	5	0,923	0,795
Papst	p96	565	184	3	5	0,611	0,827
Papst	p97	627	82	7	8	0,983	0,968
Papst	p98	396	39	8	9	0,938	0,936
Papst	p99	506	91	7	6	0,967	0,951
Papst	p100	433	76	7	8	0,982	0,945
Papst	p101	356	54	7	6	0,916	0,988
Papst	p102	361	48	8	9	0,856	0,932
Papst	p103	381	42	9	10	0,942	0,955
Papst	p104	590	74	9	9	0,957	0,968
Papst	p105	515	51	8	10	0,894	0,939
Papst	p106	518	78	9	9	0,987	0,944
Papst	p107	535	192	4	6	0,932	0,858
Papst	p108	594	10	9	10	0,984	0,982
Papst	p109	522	89	7	7	0,958	0,981
Papst	p110	389	84	7	8	0,985	0,976
Papst	p111	380	29	9	9	0,956	0,976
Papst	p112	557	99	9	9	0,900	0,944
Papst	p113	566	84	7	8	0,929	0,939
Papst	p114	557	101	7	9	0,983	0,970
Papst	p115	520	68	9	8	0,917	0,980
Papst	p116	463	22	10	10	1,000	0,950
Papst	p117	477	92	8	7	0,986	0,960
Papst	p118	615	153	8	6	0,547	0,926
Papst	p119	546	87	10	8	1,000	0,980
Papst	p120	522	127	6	5	0,871	1,000
Papst	p121	628	114	7	10	0,981	1,000
Papst	p122	492	114	2	2	0,960	0,981
Papst	p123	454	165	3	7	0,933	0,992
Papst	p124	463	62	6	7	0,918	0,953
Papst	p125	367	138	5	5	0,875	0,879
Papst	p126	345	53	8	7	0,918	0,965
EBM	e1	586	246	0	0	0,971	1,000
EBM	e2	448	92	8	7	0,856	0,970
EBM	e3	573	76	5	7	0,811	0,853
EBM	e4	638	149	6	8	0,933	0,885
EBM	e5	518	195	5	6	0,700	0,861
EBM	e6	338	25	8	6	0,955	0,981
EBM	e7	417	19	5	6	0,944	0,951
EBM	e8	457	63	5	6	0,889	0,949
EBM	e9	581	174	4	6	0,812	0,875
EBM	e10	454	71	1	6	0,911	0,933
EBM	e11	323	116	5	4	0,797	0,865
EBM	e12	415	113	7	8	0,844	0,982
EBM	e13	508	112	4	7	0,911	0,950
EBM	e14	551	72	7	8	0,967	0,953
EBM	e15	344	63	0	4	0,957	0,938
EBM	e16	510	20	8	9	0,878	0,931
EBM	e17	602	89	9	8	0,956	0,870
EBM	e18	557	100	4	8	0,893	0,957
EBM	e19	319	115	7	6	0,810	0,984
EBM	e20	416	26	5	5	0,978	1,000
EBM	e21	471	83	7	8	0,928	0,959
EBM	e22	396	31	6	9	1,000	0,932
EBM	e23	379	34	7	7	0,822	0,894
EBM	e24	408	32	8	6	0,972	1,000
EBM	e25	383	105	8	5	0,964	0,976
EBM	e26	376	101	6	6	0,967	0,963
EBM	e27	365	36	7	8	0,969	0,973
EBM	e28	490	115	6	9	0,947	0,981
EBM	e29	431	93	5	3	0,965	0,901
EBM	e30	515	128	4	7	0,860	0,868
EBM	e31	612	146	4	5	0,578	0,877
EBM	e32	647	30	7	9	0,986	0,983
EBM	e33	523	150	3	1		0,913
EBM	e34	509	90	3	6	0,900	0,884
EBM	e35	473	51	5	5	0,773	0,859
EBM	e36	582	168	1	1	0,878	0,973
EBM	e37	574	64	9	10	1,000	0,822
EBM	e38	658	50	9	9	0,944	0,961
EBM	e39	454	25	3	8	0,798	0,802
EBM	e40	430	9	7	10		0,915
EBM	e41	631	86	5	9	0,933	0,789
